Order ID,Date,Product,Category,Region,Quantity,Unit Price,Sales,Profit
ORD-0074,2025-01-03,Headphones,Electronics,West,2,2232.9,4465.8,881.37
ORD-0207,2025-01-03,Stapler,Office Supplies,North,2,179.54,359.08,54.42
ORD-0078,2025-01-09,Office Chair,Furniture,South,1,5606.63,5606.63,1162.95
ORD-0088,2025-01-09,Stapler,Office Supplies,West,2,197.27,394.55,69.26
ORD-0225,2025-01-11,Cap,Clothing,South,3,391.42,1174.27,170.99
ORD-0248,2025-01-11,Headphones,Electronics,North,2,2507.97,5015.94,887.5
ORD-0286,2025-01-11,Laptop,Electronics,West,4,63091.68,252366.71,63903.41
ORD-0075,2025-01-12,Printer Paper,Office Supplies,North,4,306.37,1225.48,213.32
ORD-0196,2025-01-14,Jeans,Clothing,West,10,1338.51,13385.13,3183.53
ORD-0032,2025-01-15,Stapler,Office Supplies,East,5,163.46,817.28,101.93
ORD-0098,2025-01-15,Cap,Clothing,West,9,318.86,2869.75,275.83
ORD-0204,2025-01-16,T-Shirt,Clothing,West,7,603.35,4223.46,420.91
ORD-0201,2025-01-18,Headphones,Electronics,North,8,2199.91,17599.26,1752.4
ORD-0249,2025-01-18,Sofa,Furniture,East,3,26644.3,79932.89,20170.11
ORD-0130,2025-01-21,T-Shirt,Clothing,East,8,521.26,4170.12,1100.98
ORD-0077,2025-01-23,Cap,Clothing,Central,3,393.04,1179.11,271.87
ORD-0132,2025-01-23,Printer Paper,Office Supplies,Central,5,328.73,1643.64,231.79
ORD-0096,2025-01-25,Notebook,Office Supplies,North,1,132.05,132.05,10.56
ORD-0203,2025-01-25,Printer Paper,Office Supplies,Central,10,350.39,3503.92,557.8
ORD-0294,2025-01-25,Marker,Office Supplies,South,8,78.01,624.05,37.61
ORD-0123,2025-01-27,Smartphone,Electronics,East,7,21667.64,151673.46,33733.23
ORD-0268,2025-01-27,Laptop,Electronics,Central,1,46993.04,46993.04,9875.09
ORD-0281,2025-02-02,Sofa,Furniture,Central,10,28176.73,281767.33,37167.45
ORD-0095,2025-02-03,Shoes,Clothing,East,10,1920.42,19204.24,5090.72
ORD-0137,2025-02-03,Tablet,Electronics,West,9,18240.93,164168.37,18409.59
ORD-0169,2025-02-03,Smartphone,Electronics,North,3,25179.41,75538.22,13474.05
ORD-0262,2025-02-04,Tablet,Electronics,North,10,18496.64,184966.42,49486.63
ORD-0013,2025-02-05,Headphones,Electronics,East,8,2647.78,21182.25,1969.95
ORD-0084,2025-02-09,Bookshelf,Furniture,Central,5,8886.41,44432.06,9711.84
ORD-0168,2025-02-10,Smartwatch,Electronics,South,7,7320.77,51245.36,12137.39
ORD-0243,2025-02-10,T-Shirt,Clothing,North,9,531.32,4781.84,783.3
ORD-0269,2025-02-10,Jacket,Clothing,West,5,2672.08,13360.41,1512.39
ORD-0117,2025-02-11,Pen Set,Office Supplies,South,7,225.51,1578.57,113.26
ORD-0285,2025-02-11,Bookshelf,Furniture,Central,10,7302.41,73024.15,9939.29
ORD-0289,2025-02-12,Laptop,Electronics,West,1,55946.77,55946.77,14217.94
ORD-0267,2025-02-13,Marker,Office Supplies,East,8,88.94,711.49,121.33
ORD-0128,2025-02-14,Tablet,Electronics,North,4,17312.66,69250.63,18275.33
ORD-0159,2025-02-14,Desk,Furniture,West,10,11656.14,116561.44,29055.3
ORD-0156,2025-02-15,Marker,Office Supplies,Central,3,80.44,241.32,19.22
ORD-0104,2025-02-16,Bookshelf,Furniture,East,9,7457.29,67115.62,8579.08
ORD-0024,2025-02-21,Marker,Office Supplies,West,1,78.4,78.4,5.42
ORD-0258,2025-02-21,Office Chair,Furniture,South,7,7035.34,49247.4,12943.03
ORD-0138,2025-02-23,Headphones,Electronics,West,10,2188.06,21880.62,2172.41
ORD-0166,2025-02-24,Smartphone,Electronics,West,6,21541.95,129251.72,12710.95
ORD-0023,2025-02-26,Marker,Office Supplies,Central,1,79.26,79.26,9.46
ORD-0124,2025-02-27,Smartphone,Electronics,Central,6,19958.51,119751.07,25206.84
ORD-0061,2025-03-04,T-Shirt,Clothing,East,6,688.98,4133.85,676.1
ORD-0161,2025-03-05,Desk,Furniture,South,4,10347.96,41391.83,7966.63
ORD-0021,2025-03-06,Tablet,Electronics,South,9,17418.85,156769.61,25051.12
ORD-0107,2025-03-06,Office Chair,Furniture,West,5,7273.74,36368.7,5706.69
